Date,Age,Tm,Opp,Result,Game Type,Seasontype,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Resultdifference,season
2019/3/20,33,HOU,MEM,L,@,regular,1,41.48,6,17,0.353,2,9,0.222,4,4,1,2,5,7,7,1,0,2,5,18,13.3,-1,0.48,0.412,5.4,14.9,9.9,26,1.2,0,9.6,23.1,115,125,-4.4,-1,2018-2019
2019/3/22,33,HOU,SAS,W,Home,regular,1,34.2,7,15,0.467,0,3,0,4,4,1,0,3,3,5,1,1,2,2,18,13.6,-4,0.537,0.467,0,8.6,4.4,26.8,1.4,2.1,10.7,24.1,110,107,1,6,2018-2019
2019/3/24,33,HOU,NOP,W,@,regular,1,26.78,4,12,0.333,1,7,0.143,1,1,1,1,2,3,13,5,0,3,2,10,14.8,20,0.402,0.375,4.3,6.9,5.7,66.9,9.6,0,19.4,25.9,118,85,9.9,23,2018-2019
2019/3/26,33,HOU,MIL,L,@,regular,1,32.13,7,18,0.389,4,9,0.444,1,1,1,3,6,9,4,0,0,2,1,19,13.5,-10,0.515,0.5,7.7,18.7,12.7,23.4,0,0,9.8,26.5,104,108,4.6,-14,2018-2019
2019/3/28,33,HOU,DEN,W,Home,regular,1,30.27,3,10,0.3,0,3,0,3,3,1,0,4,4,8,1,0,3,2,9,7.2,14,0.398,0.3,0,15.1,7.6,36,1.7,0,20.9,21.5,95,92,-4.7,27,2018-2019
2019/3/30,33,HOU,SAC,W,Home,regular,1,30.3,8,16,0.5,3,8,0.375,3,4,0.75,0,2,2,5,4,0,0,2,22,20.9,13,0.619,0.594,0,6.6,3.6,30.1,6.7,0,0,27.1,136,106,13.3,11,2018-2019
2019/4/2,33,HOU,SAC,W,@,regular,1,27.52,3,12,0.25,1,7,0.143,0,1,0,0,5,5,12,2,1,2,2,7,9.2,6,0.281,0.292,0,17.1,9.3,51.3,3.6,2.4,13.9,23.2,100,102,-2.2,25,2018-2019
2019/4/3,33,HOU,LAC,W,@,regular,1,26.68,10,19,0.526,5,8,0.625,4,4,1,1,3,4,7,2,1,3,3,29,24.7,23,0.698,0.658,4.4,12,8.4,43.4,3.5,3.2,12.6,36.6,140,97,17.9,32,2018-2019
2019/4/5,33,HOU,NYK,W,Home,regular,1,23.85,4,9,0.444,3,6,0.5,0,0,0,0,3,3,10,1,0,1,1,11,13.8,34,0.611,0.611,0,13.1,6,57.6,1.9,0,10,17.6,139,93,9.2,24,2018-2019
2019/4/7,33,HOU,PHO,W,Home,regular,1,26.03,2,8,0.25,2,5,0.4,0,0,0,0,3,3,9,5,0,2,1,6,11,30,0.375,0.375,0,11.5,5.9,33.7,8.8,0,20,15.6,112,96,1.9,36,2018-2019
2019/4/9,33,HOU,OKC,L,@,regular,1,34.17,9,15,0.6,5,9,0.556,1,1,1,1,7,8,6,1,0,1,2,24,23.3,4,0.777,0.767,3,19.3,11.5,33.2,1.5,0,6.1,21.4,156,115,12.8,-1,2018-2019
2017/10/17,32,HOU,GSW,W,@,regular,1,33.07,2,9,0.222,0,4,0,0,0,0,1,7,8,10,2,1,1,4,4,8.4,-13,0.222,0.222,3.2,26.1,13.8,32.9,2.8,2.9,10,12.4,97,115,-2.2,1,2017-2018
2017/11/16,32,HOU,PHO,W,@,regular,1,20.75,3,7,0.429,2,4,0.5,3,3,1,0,4,4,10,2,0,1,4,11,14.9,12,0.661,0.571,0,16.8,9.4,64.1,4.3,0,10.7,17.9,161,102,11.2,26,2017-2018
2017/11/18,32,HOU,MEM,W,@,regular,1,24.2,6,11,0.545,4,7,0.571,1,1,1,0,2,2,6,2,1,3,3,17,15,10,0.743,0.727,0,7.8,4.3,51.5,4.4,3.4,20.8,27.7,128,90,16.4,22,2017-2018
2017/11/22,32,HOU,DEN,W,Home,regular,1,27.52,8,11,0.727,4,7,0.571,3,4,0.75,0,2,2,12,3,0,1,1,23,28.7,26,0.901,0.909,0,6.6,3.9,67.4,5.2,0,7.3,21.8,184,93,27.2,30,2017-2018
2017/11/25,32,HOU,NYK,W,Home,regular,1,30.88,2,12,0.167,0,4,0,2,2,1,0,2,2,13,2,0,1,1,6,8.7,13,0.233,0.167,0,8,3.8,53.3,3.1,0,7.2,19.5,96,102,-4,15,2017-2018
2017/11/27,32,HOU,BRK,W,Home,regular,1,30.98,1,7,0.143,1,4,0.25,1,1,1,3,3,6,14,2,0,0,1,4,13.9,12,0.269,0.214,10.3,11.6,10.9,53.6,3.1,0,0,10.5,145,103,6.4,14,2017-2018
2017/11/29,32,HOU,IND,W,Home,regular,1,29.55,5,8,0.625,2,3,0.667,1,2,0.5,1,5,6,7,0,0,2,0,13,14.1,14,0.732,0.75,4.1,18,11.5,33.6,0,0,18.4,16,141,103,5.9,21,2017-2018
2017/12/3,32,HOU,LAL,W,@,regular,1,32.95,8,17,0.471,4,7,0.571,1,1,1,0,4,4,6,2,0,5,5,21,12.7,8,0.602,0.588,0,12.4,6.6,26.2,2.8,0,22.3,29.1,104,92,3.3,23,2017-2018
2017/12/7,32,HOU,UTA,W,@,regular,1,36.72,7,14,0.5,2,5,0.4,2,2,1,1,8,9,13,3,1,2,3,18,23.7,12,0.605,0.571,3.6,24.9,15.1,58.9,4,2.8,11.8,20.3,142,99,14.6,11,2017-2018
2017/12/9,32,HOU,POR,W,@,regular,1,34.97,8,14,0.571,1,4,0.25,9,10,0.9,0,3,3,7,2,0,3,2,26,23,14,0.707,0.607,0,11.8,6.1,33.1,2.8,0,14,27.9,137,122,6.1,7,2017-2018
2017/12/11,32,HOU,NOP,W,Home,regular,1,32.5,8,16,0.5,3,9,0.333,1,2,0.5,0,9,9,6,3,1,2,2,20,19.4,4,0.592,0.594,0,35,17.3,24.5,4.3,2.8,10.6,25.8,113,113,4,7,2017-2018
2017/12/13,32,HOU,CHO,W,Home,regular,1,35.12,10,18,0.556,5,9,0.556,6,6,1,2,5,7,11,2,0,3,3,31,30.8,19,0.751,0.694,5.5,13.4,9.5,59.4,2.8,0,12.7,30.4,144,97,20.7,12,2017-2018
2017/12/15,32,HOU,SAS,W,Home,regular,1,32.17,10,18,0.556,5,9,0.556,3,3,1,0,4,4,8,7,1,3,3,28,29.7,29,0.725,0.694,0,13.3,7.1,42.5,10.4,2.2,13.4,29,143,92,24.3,15,2017-2018
2017/12/16,32,HOU,MIL,W,Home,regular,1,36.05,7,13,0.538,3,8,0.375,8,8,1,0,5,5,6,1,0,6,3,25,18.2,7,0.757,0.654,0,15.9,8.5,31.1,1.3,0,26.6,27.4,118,111,4.5,4,2017-2018
2017/12/18,32,HOU,UTA,W,Home,regular,1,34.57,6,13,0.462,3,9,0.333,3,4,0.75,2,8,10,10,1,2,2,3,18,20.9,20,0.61,0.577,7.1,24.7,16.5,43.8,1.5,4.3,11.9,22.6,142,103,10.7,21,2017-2018
2017/12/20,32,HOU,LAL,L,Home,regular,1,25.12,2,7,0.286,1,5,0.2,3,3,1,0,5,5,5,0,0,3,3,8,4.7,-16,0.481,0.357,0,21.2,10.2,28.8,0,0,26.5,18.3,94,122,-7.9,-6,2017-2018
2017/12/29,32,HOU,WAS,L,@,regular,1,25.53,3,11,0.273,2,5,0.4,0,0,0,0,1,1,6,2,0,1,2,8,6.2,-16,0.364,0.364,0,5.1,2.3,34.9,3.8,0,8.3,20.5,93,123,-1.7,-18,2017-2018
2017/12/31,32,HOU,LAL,W,Home,regular,1,42.38,8,20,0.4,3,10,0.3,9,9,1,0,5,5,10,0,0,2,5,28,21.7,4,0.584,0.475,0,15.9,7.1,36,0,0,7.7,26.5,131,127,1.7,6,2017-2018
2018/1/3,32,HOU,ORL,W,@,regular,1,31.53,3,13,0.231,1,4,0.25,1,1,1,2,5,7,13,2,0,3,2,8,10.3,23,0.298,0.269,6.3,14.9,10.8,52.9,3,0,18.2,22.1,95,93,0.3,18,2017-2018
2018/1/4,32,HOU,GSW,L,Home,regular,1,36.1,10,21,0.476,5,10,0.5,3,3,1,1,6,7,9,0,0,5,5,28,19.1,0,0.627,0.595,3,21,11.2,41.7,0,0,18.3,33.4,115,127,2.3,-10,2017-2018
2018/1/6,32,HOU,DET,L,@,regular,1,35.1,5,10,0.5,3,8,0.375,3,3,1,1,6,7,13,2,0,5,2,16,18.8,0,0.707,0.65,3.3,23.4,12.4,57,3,0,30.6,20.7,123,115,8.7,-7,2017-2018
2018/1/8,32,HOU,CHI,W,@,regular,1,35.77,8,17,0.471,3,11,0.273,5,5,1,1,7,8,9,2,1,6,3,24,19.9,0,0.625,0.559,3,21.8,12.2,42.7,2.7,2.3,23.8,30,112,103,3.6,9,2017-2018
2018/1/10,32,HOU,POR,W,Home,regular,1,32.68,13,29,0.448,3,11,0.273,8,8,1,1,6,7,11,3,0,2,4,37,31.5,4,0.569,0.5,2.9,23.2,11.6,62.4,4.3,0,5.8,40.9,131,105,19.7,9,2017-2018
2018/1/12,32,HOU,PHO,W,@,regular,1,27.07,9,18,0.5,2,6,0.333,5,7,0.714,2,6,8,6,0,2,0,0,25,24,8,0.593,0.556,7.4,24.7,15.6,46.2,0,7.5,0,32.6,142,97,18.8,17,2017-2018
2018/1/15,32,HOU,LAC,L,@,regular,1,34.55,8,17,0.471,3,10,0.3,0,0,0,0,6,6,7,0,1,1,2,19,15.9,-10,0.559,0.559,0,29.8,10.7,36.2,0,2.6,5.6,22.1,122,117,5,-11,2017-2018
2018/1/18,32,HOU,MIN,W,Home,regular,1,35.43,6,12,0.5,4,8,0.5,3,4,0.75,0,6,6,9,3,0,2,1,19,21.3,23,0.69,0.667,0,19.4,9.6,36,4.4,0,12.7,20.4,141,104,11.8,18,2017-2018
2018/1/20,32,HOU,GSW,W,Home,regular,1,35.27,10,20,0.5,6,11,0.545,7,8,0.875,1,10,11,7,3,0,4,1,33,29.8,6,0.702,0.65,3.3,35.8,19,34.8,4.1,0,14.5,32.6,135,104,18.2,8,2017-2018
2018/1/22,32,HOU,MIA,W,Home,regular,1,35.5,6,13,0.462,3,5,0.6,1,1,1,1,5,6,6,3,0,3,1,16,15.3,12,0.595,0.577,3.3,17.3,10.1,29.1,4.4,0,18.2,21.6,112,94,7.1,9,2017-2018
2018/1/24,32,HOU,DAL,W,@,regular,1,30.32,3,12,0.25,3,8,0.375,3,4,0.75,0,7,7,4,2,0,2,3,12,8.1,7,0.436,0.375,0,24.6,12,20.3,3.4,0,12.7,24.7,91,99,-1.8,7,2017-2018
2018/1/26,32,HOU,NOP,L,@,regular,1,33.92,11,19,0.579,4,5,0.8,12,12,1,0,3,3,8,1,0,0,6,38,34.2,1,0.783,0.684,0,10.9,5.5,55.4,1.4,0,0,32.6,162,117,19.8,-2,2017-2018
2018/1/28,32,HOU,PHO,W,Home,regular,1,27.37,4,8,0.5,0,1,0,9,9,1,0,2,2,5,0,0,0,2,17,16.3,5,0.711,0.5,0,7.8,4.1,35.1,0,0,0,19.9,159,109,6.4,11,2017-2018
2018/2/1,32,HOU,SAS,W,@,regular,1,30.38,5,14,0.357,0,3,0,0,1,0,0,2,2,2,2,0,3,3,10,1.6,-6,0.346,0.357,0,7.9,3.8,10.9,3.4,0,17.2,27.7,63,100,-12.4,11,2017-2018
2018/2/3,32,HOU,CLE,W,@,regular,1,27.42,8,14,0.571,6,9,0.667,0,0,0,1,7,8,11,1,0,0,4,22,25.3,47,0.786,0.786,3.6,23.6,14,64.2,1.8,0,0,22.7,171,88,23.7,32,2017-2018
2018/2/6,32,HOU,BRK,W,@,regular,1,33.78,9,15,0.6,4,8,0.5,3,3,1,1,6,7,5,2,0,3,2,25,22.3,13,0.766,0.733,4.1,20.3,12.9,22.1,3.1,0,15.5,27.1,142,120,8.4,10,2017-2018
2018/2/7,32,HOU,MIA,W,@,regular,1,36.43,10,19,0.526,3,8,0.375,1,2,0.5,0,7,7,7,1,0,1,1,24,20.9,-1,0.604,0.605,0,20,12.1,37.1,1.5,0,4.8,29.1,127,113,6.1,8,2017-2018
2018/2/9,32,HOU,DEN,W,Home,regular,1,22.02,3,8,0.375,0,4,0,5,5,1,0,0,0,7,2,0,0,3,11,12.3,25,0.539,0.375,0,0,0,41.9,4.4,0,0,19.9,147,103,6,26,2017-2018
2018/2/11,32,HOU,DAL,W,Home,regular,1,35.2,9,15,0.6,2,7,0.286,5,6,0.833,0,8,8,9,3,0,2,1,25,27,22,0.709,0.667,0,21,11.6,56.5,4.1,0,10.2,26.4,139,93,15.4,7,2017-2018
2018/2/13,32,HOU,MIN,W,@,regular,1,33.57,5,11,0.455,1,5,0.2,2,3,0.667,2,6,8,7,1,1,2,1,13,14.3,22,0.528,0.5,7.2,23.2,14.9,29.6,1.6,2.3,14,20.1,124,115,3.7,18,2017-2018
2018/2/14,32,HOU,SAC,W,Home,regular,1,30.68,6,11,0.545,3,7,0.429,4,4,1,1,3,4,7,2,0,4,1,19,17.8,-6,0.745,0.682,3.4,9.4,6.5,46.4,3.2,0,23.9,24.8,125,94,10.1,9,2017-2018
2018/2/23,32,HOU,MIN,W,Home,regular,1,32.52,5,11,0.455,0,5,0,4,4,1,1,9,10,8,1,0,3,1,14,14.9,9,0.549,0.455,3.6,25.5,15.9,36.2,1.6,0,19,21.9,120,106,1.6,18,2017-2018
2018/2/25,32,HOU,DEN,W,@,regular,1,32.18,6,14,0.429,2,7,0.286,9,10,0.9,2,3,5,6,2,0,3,1,23,20.3,-4,0.625,0.5,8.5,10.4,9.6,29.8,3.1,0,14,29.3,133,116,7.6,5,2017-2018
2018/2/26,32,HOU,UTA,W,@,regular,1,33.98,5,13,0.385,1,4,0.25,4,4,1,1,5,6,7,3,0,2,2,15,15.2,15,0.508,0.423,3.4,18.6,10.7,36.7,4.5,0,11.9,22.5,112,88,8.3,11,2017-2018
2018/2/28,32,HOU,LAC,W,@,regular,1,28.97,3,12,0.25,1,5,0.2,1,1,1,0,4,4,8,2,1,4,3,8,5.1,21,0.322,0.292,0,18.9,8.3,42.7,3.5,3,24.3,25.8,74,93,-3.8,13,2017-2018
2018/3/3,32,HOU,BOS,W,Home,regular,1,35.37,5,11,0.455,1,4,0.25,4,4,1,0,1,1,7,1,0,1,5,15,12.5,-7,0.588,0.5,0,3.4,1.7,29.5,1.4,0,7.3,16.9,137,129,-2.1,3,2017-2018
2018/3/6,32,HOU,OKC,W,@,regular,1,32.8,7,14,0.5,5,6,0.833,6,6,1,0,4,4,5,3,0,2,2,25,22.9,11,0.751,0.679,0,13.9,8.2,26.4,4.4,0,10.7,25.5,145,109,11.1,10,2017-2018
2018/3/7,32,HOU,MIL,W,@,regular,1,33.68,5,12,0.417,1,6,0.167,5,5,1,0,5,5,11,0,0,2,2,16,16,11,0.563,0.458,0,17.4,8.4,49.2,0,0,12.3,21,132,109,4.1,11,2017-2018
